price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
94.900 kr.;2018;112000;2018-08-01;Benzin;24.4;60;M;9000
89.900 kr.;2018;68500;2018-01-26;Benzin;24.4;60;M;5000
76.900 kr.;2016;104000;2016-03-31;Benzin;24.4;60;M;5000
99.800 kr.;2017;63600;2016-09-19;Benzin;24.4;60;M;4600
94.900 kr.;2019;98000;2019-06-20;Benzin;26.2;60;M;8600
74.700 kr.;2014;99000;2014-06-23;Benzin;24.4;60;M;8722
116.900 kr.;2019;47000;2019-08-13;Benzin;26.2;60;M;7160
80.000 kr.;2017;83000;2016-11-01;Benzin;24.4;60;M;3400
49.800 kr.;2013;153000;2013-03-15;Benzin;24.4;60;M;8920
128.800 kr.;2020;36000;2020-02-28;Benzin;25;60;M;4930
99.700 kr.;2018;98000;2018-01-03;Benzin;24.4;60;M;8722
86.500 kr.;2014;87000;2013-10-01;Benzin;22.2;75;A;5471
96.000 kr.;2019;46000;2019-02-01;Benzin;26.2;60;M;4200
50.000 kr.;2013;172000;2012-12-01;Benzin;24.4;60;M;8700
119.900 kr.;2019;70000;2019-09-27;Benzin;24.4;60;M;7160
129.900 kr.;2020;41000;2020-04-23;Benzin;25;60;M;7160
84.900 kr.;2017;133000;2016-09-16;Benzin;24.4;60;M;2610
98.900 kr.;2017;66000;2017-01-31;Benzin;24.4;60;M;8210
89.900 kr.;2016;45000;2015-07-01;Benzin;24.4;60;M;2830
72.000 kr.;2014;70000;2013-09-01;Benzin;21.3;75;M;4690
54.000 kr.;2013;118000;2012-09-27;Benzin;22.2;60;M;4540
69.900 kr.;2013;68000;2013-03-26;Benzin;23.8;75;M;3460
50.000 kr.;2012;123000;2012-01-01;Benzin;24.4;60;M;2720
91.500 kr.;2018;42000;2017-07-01;Benzin;22.2;60;M;8382
104.700 kr.;2017;23000;2016-11-18;Benzin;24.4;60;M;9500
62.900 kr.;2013;116000;2012-09-14;Benzin;22.2;60;M;5400
69.900 kr.;2014;143000;2014-03-28;Benzin;24.4;60;M;7000
89.800 kr.;2017;82000;2016-10-01;Benzin;24.4;60;M;2791
104.900 kr.;2018;60000;2018-06-06;Benzin;24.4;60;M;6715
134.900 kr.;2019;80000;2019-03-12;Benzin;24.4;75;A;8240
59.700 kr.;2013;136000;2012-08-27;Benzin;24.4;60;M;5600
127.700 kr.;2019;28000;2019-02-27;Benzin;23.8;60;M;8600
104.800 kr.;2018;94000;2017-07-03;Benzin;22.7;90;M;8471
