price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
199.900 kr.;2021;8500;2021-10-14;Benzin;22.8;100;M;2610
104.800 kr.;2016;101000;2016-05-25;Diesel;33.3;100;M;9310
149.900 kr.;2019;44000;2019-10-28;Diesel;33.3;100;M;9100
99.900 kr.;2018;147000;2018-01-15;Diesel;33.3;100;M;4520
74.900 kr.;2012;99000;2012-07-24;Diesel;26.3;68;M;8963
129.900 kr.;2018;58000;2018-11-19;Diesel;29.7;100;M;2830
194.900 kr.;2021;15000;2021-10-28;Benzin;22.8;100;M;4600
189.900 kr.;2021;17000;2021-06-18;Diesel;29.5;100;M;4600
84.900 kr.;2016;116000;2016-08-26;Diesel;33.3;100;M;8700
104.900 kr.;2017;99000;2017-03-22;Diesel;33.3;100;M;8950
214.900 kr.;2021;6000;2021-12-16;Benzin;22.8;100;M;2800
190.000 kr.;2021;32000;2021-01-21;Benzin;22.8;100;M;8960
184.900 kr.;2020;29000;2020-04-07;Benzin;26.2;100;M;4600
109.900 kr.;2017;43000;2017-03-30;Benzin;23.3;82;M;4700
69.900 kr.;2015;129000;2015-08-24;Benzin;22.2;82;M;4200
154.900 kr.;2019;22000;2019-10-07;Diesel;33.3;100;M;9100
187.500 kr.;2020;24000;2020-06-10;Diesel;34.4;100;M;8700
97.990 kr.;2018;153000;2018-01-22;Diesel;33.3;100;M;4700
194.900 kr.;2020;20000;2020-07-31;Benzin;26.2;100;M;2100
164.500 kr.;2020;32000;2020-01-27;Diesel;33.3;100;M;9500
107.500 kr.;2019;140000;2019-08-28;Diesel;30.6;100;M;8361
144.900 kr.;2019;58000;2019-09-12;Diesel;33.3;100;M;2630
138.900 kr.;2019;31500;2019-12-09;Benzin;23.4;82;M;8940
104.900 kr.;2018;92000;2018-01-05;Diesel;33.3;100;M;8600
169.900 kr.;2020;51000;2020-09-02;Diesel;34.4;100;M;7000
134.900 kr.;2018;35000;2018-08-22;Diesel;33.3;100;M;4700
59.950 kr.;2012;181000;2013-02-11;Diesel;26.3;92;M;7430
79.700 kr.;2014;129000;2015-02-03;Benzin;22.2;82;M;6950
109.900 kr.;2017;107000;2017-06-13;Diesel;33.3;100;M;2650
169.900 kr.;2021;35000;2021-03-03;Benzin;22.8;75;M;7500
209.900 kr.;2021;17000;2021-09-20;Benzin;22.8;100;M;3400
154.900 kr.;2019;41000;2019-09-20;Diesel;33.3;100;M;2630
104.900 kr.;2017;79000;2017-04-21;Diesel;33.3;100;M;5260
169.700 kr.;2020;79000;2020-05-18;Diesel;34.4;100;M;7400
109.900 kr.;2018;114000;2018-10-19;Diesel;33.3;100;M;4681
109.900 kr.;2017;71000;2017-09-19;Diesel;33.3;100;M;5683
104.800 kr.;2017;115000;2017-01-06;Diesel;33.3;100;M;9310
104.900 kr.;2018;92000;2018-02-07;Diesel;33.3;100;M;4200
139.900 kr.;2019;23000;2019-03-12;Benzin;23.4;82;M;5683
74.500 kr.;2013;44000;2013-05-29;Benzin;22.2;82;M;4700
116.900 kr.;2019;97000;2019-02-28;Benzin;23.4;82;M;6000
68.900 kr.;2017;241000;2017-05-03;Diesel;33.3;100;M;2610
184.900 kr.;2022;9000;2022-02-24;Benzin;22.8;75;M;2800
129.800 kr.;2018;51000;2018-09-17;Diesel;33.3;100;M;6760
189.900 kr.;2022;5500;2022-05-25;Benzin;22.8;75;M;8260
182.900 kr.;2020;19000;2020-01-03;Benzin;26.2;100;M;9500
39.900 kr.;2012;203000;2013-07-29;Benzin;23.3;68;M;8700
124.900 kr.;2018;19000;2018-08-13;Benzin;23.3;82;M;4200
239.900 kr.;2021;25000;2021-05-20;Benzin;22.4;100;A;4100
187.500 kr.;2020;35000;2020-02-03;Benzin;26.2;100;M;6000
144.900 kr.;2019;29000;2019-02-25;Benzin;23.4;82;M;9100
164.900 kr.;2021;38000;2021-01-28;Benzin;22.8;75;M;4200
64.900 kr.;2014;76000;2015-06-04;Benzin;23.3;68;M;2830
109.900 kr.;2016;42000;2016-07-25;Diesel;33.3;100;M;4200
199.900 kr.;2020;26000;2020-12-09;Benzin;26.2;100;M;2630
134.900 kr.;2018;24000;2018-08-15;Benzin;20.8;82;M;9100
149.900 kr.;2019;48000;2019-09-04;Diesel;33.3;100;M;9100
99.900 kr.;2017;67500;2017-06-01;Diesel;33.3;100;M;2750
184.700 kr.;2020;11000;2020-01-03;Benzin;26.2;100;M;2630
134.900 kr.;2018;62000;2018-03-27;Benzin;23.3;82;M;9100
59.800 kr.;2015;119000;2015-02-02;Benzin;23.3;82;M;8270
149.900 kr.;2019;49000;2019-10-10;Diesel;33.3;100;M;9100
146.900 kr.;2019;66000;2019-10-04;Diesel;33.3;100;M;9100
89.900 kr.;2018;136000;2018-06-22;Benzin;23.3;82;M;2605
84.900 kr.;2016;131000;2016-07-12;Diesel;33.3;100;M;8940
99.800 kr.;2016;162000;2016-09-05;Diesel;33.3;100;M;4600
204.900 kr.;2020;24000;2020-10-02;Diesel;34.4;100;M;5210
159.900 kr.;2020;42000;2020-10-28;Benzin;26.8;75;M;9100
159.900 kr.;2019;31000;2019-08-28;Diesel;33.3;100;M;9100
149.900 kr.;2019;43000;2019-09-17;Diesel;33.3;100;M;9100
164.900 kr.;2017;48000;2017-04-28;Benzin;23.3;110;M;2610
69.900 kr.;2012;133000;2012-06-28;Diesel;26.3;92;M;7000
84.900 kr.;2015;96500;2015-09-08;Diesel;33.3;100;M;8680
72.900 kr.;2015;171000;2015-07-29;Diesel;33.3;100;M;4600
