price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
484.900 kr.;2022;19000;2022-02-07;El;65.3;514;A;2610
458.900 kr.;2021;28000;2021-12-01;El;65.3;514;A;7430
549.900 kr.;2022;3600;2022-02-15;El;65.3;514;A;7800
519.000 kr.;2022;7000;2022-09-01;El;62.5;514;A;8960
509.900 kr.;2022;7900;2022-03-17;El;65.3;514;A;2500
544.800 kr.;2021;12000;2021-11-15;El;65.3;514;A;9440
514.900 kr.;2022;6000;2022-08-29;El;65.3;514;A;7200
469.900 kr.;2021;21000;2021-11-15;El;65.3;514;A;7160
498.000 kr.;2022;9000;2022-05-01;El;62.5;514;A;2840
490.000 kr.;2022;17000;2022-03-01;El;65.3;384;A;8270
544.800 kr.;2021;15000;2021-11-26;El;65.3;514;A;9440
564.900 kr.;2022;22000;2022-04-27;El;64.6;534;A;8361
479.900 kr.;2022;9000;2022-03-23;El;65.3;514;A;7200
489.800 kr.;2022;20500;2022-02-23;El;65.3;514;A;4000
480.000 kr.;2022;10000;2022-06-22;El;65.3;514;A;2610
489.900 kr.;2022;15000;2022-02-02;El;62.5;514;A;5762
512.000 kr.;2022;13000;2022-02-01;El;65.3;384;A;6710
544.800 kr.;2021;10000;2021-09-09;El;65.3;514;A;9440
479.900 kr.;2022;30000;2021-09-08;El;65.3;514;A;8600
489.000 kr.;2021;14700;2021-09-27;El;65.3;514;A;9500
529.800 kr.;2021;36000;2021-09-16;El;65.3;514;A;9440
474.800 kr.;2022;11000;2022-03-16;El;65.3;514;A;7200
459.800 kr.;2021;20000;2021-11-18;El;65.3;514;A;5210
489.000 kr.;2022;9100;2022-03-30;El;65.3;514;A;7430
494.995 kr.;2022;8000;2022-08-23;El;62.5;514;A;2765
494.000 kr.;2022;14900;2022-03-29;El;65.3;514;A;7430
499.000 kr.;2022;9100;2022-03-30;El;65.3;514;A;7430
479.800 kr.;2022;19000;2022-02-25;El;65.3;514;A;9230
594.800 kr.;2022;6000;2022-08-08;El;64.6;534;A;7200
499.000 kr.;2021;38000;2021-08-01;El;65.3;441;A;2920
498.000 kr.;2022;2000;2022-06-01;El;65.3;514;A;7430
489.900 kr.;2021;23000;2021-11-16;El;65.3;514;A;7400
499.000 kr.;2022;13000;2022-02-17;El;65.3;514;A;9500
509.900 kr.;2022;6100;2022-01-31;El;65.3;514;A;8260
539.900 kr.;2022;100;2022-08-01;El;65.3;384;A;7100
452.000 kr.;2021;35000;2021-09-13;El;65.3;514;A;7000
489.900 kr.;2021;11900;2021-09-06;El;65.3;514;A;3460
499.000 kr.;2022;8000;2022-03-01;El;62.5;514;A;6630
464.900 kr.;2021;10000;2021-09-24;El;65.3;384;A;2610
469.900 kr.;2021;24000;2021-08-18;El;65.3;514;A;7400
500.000 kr.;2022;15500;2022-03-05;El;65.3;384;A;9000
489.700 kr.;2022;28000;2022-02-08;El;65.3;514;A;4700
489.700 kr.;2022;23000;2022-01-14;El;65.3;514;A;4700
