price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
74.900 kr.;2017;48000;2017-05-05;Benzin;24.4;60;M;7100
44.800 kr.;2013;133000;2012-12-12;Benzin;23.8;75;M;4400
72.500 kr.;2017;54000;2016-12-01;Benzin;24.4;60;M;3250
74.800 kr.;2018;108000;2018-06-20;Benzin;24.4;60;M;8983
77.500 kr.;2017;28000;2017-04-01;Benzin;24.4;60;M;4621
45.000 kr.;2014;150000;2014-03-01;Benzin;22.2;60;M;3400
69.000 kr.;2017;81000;2017-06-01;Benzin;24.4;60;M;3000
68.000 kr.;2015;68000;2015-06-01;Benzin;24.4;60;M;3600
96.800 kr.;2019;98299;2018-12-05;Benzin;26.2;60;M;5854
74.900 kr.;2017;114000;2017-01-02;Benzin;24.4;60;M;4652
59.500 kr.;2015;151000;2015-07-06;Benzin;24.4;60;M;4652
49.800 kr.;2013;129000;2013-06-12;Benzin;24.4;60;M;6900
49.990 kr.;2013;150000;2012-11-02;Benzin;24.4;60;M;2630
51.990 kr.;2014;143000;2013-08-21;Benzin;22.2;60;M;2630
68.500 kr.;2017;132000;2017-01-06;Benzin;24.4;60;M;5270
65.800 kr.;2016;85000;2016-11-28;Benzin;24.4;60;M;8800
62.800 kr.;2013;75300;2013-03-15;Benzin;24.4;60;M;8800
41.500 kr.;2013;147000;2012-08-01;Benzin;22.2;60;M;9260
69.900 kr.;2015;73000;2015-01-28;Benzin;24.4;60;M;4700
79.500 kr.;2016;33000;2016-08-17;Benzin;24.4;60;M;6000
49.999 kr.;2013;161000;2012-12-30;Benzin;21.3;75;M;7100
99.900 kr.;2019;82000;2019-01-11;Benzin;26.2;60;M;2750
77.000 kr.;2013;94000;2013-01-01;Benzin;22.7;60;A;2500
54.900 kr.;2015;125000;2014-10-01;Benzin;24.4;60;M;8000
84.900 kr.;2018;133000;2018-06-26;Benzin;24.4;60;M;5580
67.000 kr.;2016;98000;2016-04-01;Benzin;22.2;60;M;4681
50.000 kr.;2014;133000;2014-07-01;Benzin;24.4;60;M;2665
59.000 kr.;2017;78000;2016-10-01;Benzin;24.4;60;M;5220
